Drone Model,flight radius,flight height,operations per head,flight time,payload capacity,range,camera quality,wind resistane,budjet,data storage,durability,weather resistance,speed,obstacle avoidance,GPS accuracy,regulatory compilance
1. DJI Mavic Air 2,10,5,15,34,0.5,6,48,38,799,8,1,1,68.4,1,1,1
2. DJI Mavic 2 Pro,18,6,15,31,0.5,8,20,38,1599,8,1,1,72,1,1,1
3. DJI Mavic 2 Zoom,18,6,15,31,0.5,8,12,38,1349,8,1,1,72,1,1,1
6. DJI Phantom 4 Pro V2.0,7,6,20,30,1.35,7,20,36,1799,128,1,0.5,72,1,1,1
7. DJI Phantom 4 Advanced,7,6,20,30,1.35,7,20,36,1299,128,1,0.5,72,1,1,1
8. DJI Phantom 4 Multispectral,7,6,15,30,1.35,7,1.2,36,6499,128,1,0.5,58.8,1,1,1
9. DJI Matrice 300 RTK,15,7,30,55,2.7,15,45,54,15999,32,1,1,83,1,1,1
10. DJI Matrice 200 V2,7,7,30,38,2.34,7,24,54,6999,32,1,0.5,94.2,1,1,1
11. DJI Matrice 600 Pro,5,2.5,25,38,6,5,24,102.24,4999,256,1,0,65,1,1,1
12. DJI Matrice 100,2,0.12,15,40,1.2,2,16,102.24,3299,16,1,0,79,1,1,1
17. DJI Inspire 1,2,0.45,15,18,2,5,16,36,1999,512,1,0,80,1,1,1
